Feature,SHAP_Value,Impact,EmployeeID,Rank,ActualAttrition,PredictedAttrition,Probability_of_Leaving,FinancialRisk,RiskCategory
Overtime,-0.409,Reduces Risk,1222,5,1,0,0.34261177611996835,95897.04,Medium
Research Scientist,0.75,Increases Risk,67,1,0,0,0.012852388288665861,22495.79,Low
YearsInCurrentRole,0.73,Increases Risk,67,2,0,0,0.012852388288665861,22495.79,Low
JobSatisfaction,0.676,Increases Risk,67,3,0,0,0.012852388288665861,22495.79,Low
YearsWithCurrManager,0.503,Increases Risk,67,4,0,0,0.012852388288665861,22495.79,Low
Travels Rarely,0.35,Increases Risk,67,5,0,0,0.012852388288665861,22495.79,Low
TotalWorkingYears,-0.865,Reduces Risk,67,1,0,0,0.012852388288665861,22495.79,Low
YearsAtCompany,-0.609,Reduces Risk,67,2,0,0,0.012852388288665861,22495.79,Low
Travels Frequently,-0.49,Reduces Risk,67,3,0,0,0.012852388288665861,22495.79,Low
Single,-0.475,Reduces Risk,67,4,0,0,0.012852388288665861,22495.79,Low
Overtime,-0.409,Reduces Risk,67,5,0,0,0.012852388288665861,22495.79,Low
Laboratory Technician,1.794,Increases Risk,220,1,0,0,0.05067714240436186,53946.83,Medium
NumCompaniesWorked,1.106,Increases Risk,220,2,0,0,0.05067714240436186,53946.83,Medium
Single,0.883,Increases Risk,220,3,0,0,0.05067714240436186,53946.83,Medium
YearsAtCompany,0.708,Increases Risk,220,4,0,0,0.05067714240436186,53946.83,Medium
Travels Rarely,0.35,Increases Risk,220,5,0,0,0.05067714240436186,53946.83,Medium
YearsInCurrentRole,-1.223,Reduces Risk,220,1,0,0,0.05067714240436186,53946.83,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,220,2,0,0,0.05067714240436186,53946.83,Medium
WorkLifeBalance,-0.515,Reduces Risk,220,3,0,0,0.05067714240436186,53946.83,Medium
Travels Frequently,-0.49,Reduces Risk,220,4,0,0,0.05067714240436186,53946.83,Medium
YearsWithCurrManager,-0.416,Reduces Risk,220,5,0,0,0.05067714240436186,53946.83,Medium
JobRole_Sales Representative,1.949,Increases Risk,494,1,0,0,0.32748404370708956,152024.64,High
Overtime,1.744,Increases Risk,494,2,0,0,0.32748404370708956,152024.64,High
Technical Degree,0.428,Increases Risk,494,3,0,0,0.32748404370708956,152024.64,High
Sales Department,0.404,Increases Risk,494,4,0,0,0.32748404370708956,152024.64,High
YearsInCurrentRole,0.375,Increases Risk,494,5,0,0,0.32748404370708956,152024.64,High
Travels Frequently,-0.49,Reduces Risk,494,1,0,0,0.32748404370708956,152024.64,High
Single,-0.475,Reduces Risk,494,2,0,0,0.32748404370708956,152024.64,High
NumCompaniesWorked,-0.32,Reduces Risk,494,3,0,0,0.32748404370708956,152024.64,High
YearsSinceLastPromotion,-0.313,Reduces Risk,494,4,0,0,0.32748404370708956,152024.64,High
Male,-0.296,Reduces Risk,494,5,0,0,0.32748404370708956,152024.64,High
Laboratory Technician,1.794,Increases Risk,430,1,0,0,0.4042792968936502,307818.26,High
Single,0.883,Increases Risk,430,2,0,0,0.4042792968936502,307818.26,High
JobInvolvement,0.819,Increases Risk,430,3,0,0,0.4042792968936502,307818.26,High
DistanceFromHome,0.535,Increases Risk,430,4,0,0,0.4042792968936502,307818.26,High
Travels Rarely,0.35,Increases Risk,430,5,0,0,0.4042792968936502,307818.26,High
EnvironmentSatisfaction,-0.588,Reduces Risk,430,1,0,0,0.4042792968936502,307818.26,High
NumCompaniesWorked,-0.524,Reduces Risk,430,2,0,0,0.4042792968936502,307818.26,High
Travels Frequently,-0.49,Reduces Risk,430,3,0,0,0.4042792968936502,307818.26,High
Overtime,-0.409,Reduces Risk,430,4,0,0,0.4042792968936502,307818.26,High
Life Sciences,-0.373,Reduces Risk,430,5,0,0,0.4042792968936502,307818.26,High
Laboratory Technician,1.794,Increases Risk,240,1,0,0,0.034445781709436386,13838.94,Low
NumCompaniesWorked,0.903,Increases Risk,240,2,0,0,0.034445781709436386,13838.94,Low
YearsInCurrentRole,0.375,Increases Risk,240,3,0,0,0.034445781709436386,13838.94,Low
Travels Rarely,0.35,Increases Risk,240,4,0,0,0.034445781709436386,13838.94,Low
TrainingTimesLastYear,0.274,Increases Risk,240,5,0,0,0.034445781709436386,13838.94,Low
Travels Frequently,-0.49,Reduces Risk,240,1,0,0,0.034445781709436386,13838.94,Low
Single,-0.475,Reduces Risk,240,2,0,0,0.034445781709436386,13838.94,Low
StockOptionLevel,-0.459,Reduces Risk,240,3,0,0,0.034445781709436386,13838.94,Low
Overtime,-0.409,Reduces Risk,240,4,0,0,0.034445781709436386,13838.94,Low
YearsAtCompany,-0.39,Reduces Risk,240,5,0,0,0.034445781709436386,13838.94,Low
YearsSinceLastPromotion,1.615,Increases Risk,218,1,0,0,0.060535072621371644,96595.82,Medium
YearsAtCompany,1.367,Increases Risk,218,2,0,0,0.060535072621371644,96595.82,Medium
Single,0.883,Increases Risk,218,3,0,0,0.060535072621371644,96595.82,Medium
NumCompaniesWorked,0.699,Increases Risk,218,4,0,0,0.060535072621371644,96595.82,Medium
Sales Executive,0.696,Increases Risk,218,5,0,0,0.060535072621371644,96595.82,Medium
TotalWorkingYears,-0.746,Reduces Risk,218,1,0,0,0.060535072621371644,96595.82,Medium
Travels Rarely,-0.622,Reduces Risk,218,2,0,0,0.060535072621371644,96595.82,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,218,3,0,0,0.060535072621371644,96595.82,Medium
YearsWithCurrManager,-0.547,Reduces Risk,218,4,0,0,0.060535072621371644,96595.82,Medium
YearsInCurrentRole,-0.513,Reduces Risk,218,5,0,0,0.060535072621371644,96595.82,Medium
Laboratory Technician,1.794,Increases Risk,49,1,0,0,0.013795952562961355,5634.54,Low
YearsInCurrentRole,0.73,Increases Risk,49,2,0,0,0.013795952562961355,5634.54,Low
TotalWorkingYears,0.557,Increases Risk,49,3,0,0,0.013795952562961355,5634.54,Low
YearsWithCurrManager,0.372,Increases Risk,49,4,0,0,0.013795952562961355,5634.54,Low
Travels Rarely,0.35,Increases Risk,49,5,0,0,0.013795952562961355,5634.54,Low
JobInvolvement,-0.61,Reduces Risk,49,1,0,0,0.013795952562961355,5634.54,Low
YearsAtCompany,-0.609,Reduces Risk,49,2,0,0,0.013795952562961355,5634.54,Low
EnvironmentSatisfaction,-0.588,Reduces Risk,49,3,0,0,0.013795952562961355,5634.54,Low
JobSatisfaction,-0.51,Reduces Risk,49,4,0,0,0.013795952562961355,5634.54,Low
Travels Frequently,-0.49,Reduces Risk,49,5,0,0,0.013795952562961355,5634.54,Low
JobRole_Sales Representative,1.949,Increases Risk,665,1,0,1,0.5171301542967541,306616.81,High
Overtime,1.744,Increases Risk,665,2,0,1,0.5171301542967541,306616.81,High
Single,0.883,Increases Risk,665,3,0,1,0.5171301542967541,306616.81,High
TotalWorkingYears,0.438,Increases Risk,665,4,0,1,0.5171301542967541,306616.81,High
Sales Department,0.404,Increases Risk,665,5,0,1,0.5171301542967541,306616.81,High
EnvironmentSatisfaction,-0.588,Reduces Risk,665,1,0,1,0.5171301542967541,306616.81,High
JobSatisfaction,-0.51,Reduces Risk,665,2,0,1,0.5171301542967541,306616.81,High
Travels Frequently,-0.49,Reduces Risk,665,3,0,1,0.5171301542967541,306616.81,High
YearsAtCompany,-0.39,Reduces Risk,665,4,0,1,0.5171301542967541,306616.81,High
Life Sciences,-0.373,Reduces Risk,665,5,0,1,0.5171301542967541,306616.81,High
YearsSinceLastPromotion,2.097,Increases Risk,926,1,0,0,0.05287163792082768,97367.35,Medium
YearsAtCompany,1.587,Increases Risk,926,2,0,0,0.05287163792082768,97367.35,Medium
Single,0.883,Increases Risk,926,3,0,0,0.05287163792082768,97367.35,Medium
Sales Executive,0.696,Increases Risk,926,4,0,0,0.05287163792082768,97367.35,Medium
Sales Department,0.404,Increases Risk,926,5,0,0,0.05287163792082768,97367.35,Medium
YearsWithCurrManager,-1.729,Reduces Risk,926,1,0,0,0.05287163792082768,97367.35,Medium
TotalWorkingYears,-0.746,Reduces Risk,926,2,0,0,0.05287163792082768,97367.35,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,926,3,0,0,0.05287163792082768,97367.35,Medium
WorkLifeBalance,-0.515,Reduces Risk,926,4,0,0,0.05287163792082768,97367.35,Medium
YearsInCurrentRole,-0.513,Reduces Risk,926,5,0,0,0.05287163792082768,97367.35,Medium
NumCompaniesWorked,1.31,Increases Risk,617,1,0,0,0.0819062934609307,87471.01,Medium
Single,0.883,Increases Risk,617,2,0,0,0.0819062934609307,87471.01,Medium
YearsInCurrentRole,0.375,Increases Risk,617,3,0,0,0.0819062934609307,87471.01,Medium
Travels Rarely,0.35,Increases Risk,617,4,0,0,0.0819062934609307,87471.01,Medium
JobSatisfaction,0.281,Increases Risk,617,5,0,0,0.0819062934609307,87471.01,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,617,1,0,0,0.0819062934609307,87471.01,Medium
Travels Frequently,-0.49,Reduces Risk,617,2,0,0,0.0819062934609307,87471.01,Medium
Overtime,-0.409,Reduces Risk,617,3,0,0,0.0819062934609307,87471.01,Medium
Medical,-0.343,Reduces Risk,617,4,0,0,0.0819062934609307,87471.01,Medium
Laboratory Technician,-0.268,Reduces Risk,617,5,0,0,0.0819062934609307,87471.01,Medium
Laboratory Technician,1.794,Increases Risk,361,1,0,0,0.03829515258949807,15254.49,Low
Overtime,1.744,Increases Risk,361,2,0,0,0.03829515258949807,15254.49,Low
Travels Rarely,0.35,Increases Risk,361,3,0,0,0.03829515258949807,15254.49,Low
Married,0.239,Increases Risk,361,4,0,0,0.03829515258949807,15254.49,Low
Medical,0.21,Increases Risk,361,5,0,0,0.03829515258949807,15254.49,Low
JobInvolvement,-0.61,Reduces Risk,361,1,0,0,0.03829515258949807,15254.49,Low
EnvironmentSatisfaction,-0.588,Reduces Risk,361,2,0,0,0.03829515258949807,15254.49,Low
YearsInCurrentRole,-0.513,Reduces Risk,361,3,0,0,0.03829515258949807,15254.49,Low
Travels Frequently,-0.49,Reduces Risk,361,4,0,0,0.03829515258949807,15254.49,Low
Single,-0.475,Reduces Risk,361,5,0,0,0.03829515258949807,15254.49,Low
Single,0.883,Increases Risk,1423,1,0,0,0.023319682863512124,14166.71,Low
Research Scientist,0.75,Increases Risk,1423,2,0,0,0.023319682863512124,14166.71,Low
TotalWorkingYears,0.379,Increases Risk,1423,3,0,0,0.023319682863512124,14166.71,Low
YearsInCurrentRole,0.375,Increases Risk,1423,4,0,0,0.023319682863512124,14166.71,Low
Age,0.364,Increases Risk,1423,5,0,0,0.023319682863512124,14166.71,Low
EnvironmentSatisfaction,-0.588,Reduces Risk,1423,1,0,0,0.023319682863512124,14166.71,Low
NumCompaniesWorked,-0.524,Reduces Risk,1423,2,0,0,0.023319682863512124,14166.71,Low
WorkLifeBalance,-0.515,Reduces Risk,1423,3,0,0,0.023319682863512124,14166.71,Low
Travels Frequently,-0.49,Reduces Risk,1423,4,0,0,0.023319682863512124,14166.71,Low
Overtime,-0.409,Reduces Risk,1423,5,0,0,0.023319682863512124,14166.71,Low
Travels Frequently,1.326,Increases Risk,1244,1,0,0,0.10354562217854835,92594.64,Medium
Single,0.883,Increases Risk,1244,2,0,0,0.10354562217854835,92594.64,Medium
Research Scientist,0.75,Increases Risk,1244,3,0,0,0.10354562217854835,92594.64,Medium
JobSatisfaction,0.676,Increases Risk,1244,4,0,0,0.10354562217854835,92594.64,Medium
Technical Degree,0.428,Increases Risk,1244,5,0,0,0.10354562217854835,92594.64,Medium
Travels Rarely,-0.622,Reduces Risk,1244,1,0,0,0.10354562217854835,92594.64,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,1244,2,0,0,0.10354562217854835,92594.64,Medium
NumCompaniesWorked,-0.524,Reduces Risk,1244,3,0,0,0.10354562217854835,92594.64,Medium
YearsInCurrentRole,-0.513,Reduces Risk,1244,4,0,0,0.10354562217854835,92594.64,Medium
YearsWithCurrManager,-0.416,Reduces Risk,1244,5,0,0,0.10354562217854835,92594.64,Medium
Overtime,1.744,Increases Risk,1250,1,0,0,0.17400551238083178,197134.33,High
Travels Frequently,1.326,Increases Risk,1250,2,0,0,0.17400551238083178,197134.33,High
NumCompaniesWorked,1.106,Increases Risk,1250,3,0,0,0.17400551238083178,197134.33,High
Single,0.883,Increases Risk,1250,4,0,0,0.17400551238083178,197134.33,High
YearsInCurrentRole,0.375,Increases Risk,1250,5,0,0,0.17400551238083178,197134.33,High
Travels Rarely,-0.622,Reduces Risk,1250,1,0,0,0.17400551238083178,197134.33,High
JobInvolvement,-0.61,Reduces Risk,1250,2,0,0,0.17400551238083178,197134.33,High
EnvironmentSatisfaction,-0.588,Reduces Risk,1250,3,0,0,0.17400551238083178,197134.33,High
WorkLifeBalance,-0.515,Reduces Risk,1250,4,0,0,0.17400551238083178,197134.33,High
YearsAtCompany,-0.39,Reduces Risk,1250,5,0,0,0.17400551238083178,197134.33,High
YearsSinceLastPromotion,2.097,Increases Risk,752,1,1,0,0.11495314663846609,56756.97,Medium
Laboratory Technician,1.794,Increases Risk,752,2,1,0,0.11495314663846609,56756.97,Medium
YearsAtCompany,1.147,Increases Risk,752,3,1,0,0.11495314663846609,56756.97,Medium
Single,0.883,Increases Risk,752,4,1,0,0.11495314663846609,56756.97,Medium
JobSatisfaction,0.676,Increases Risk,752,5,1,0,0.11495314663846609,56756.97,Medium
YearsInCurrentRole,-1.578,Reduces Risk,752,1,1,0,0.11495314663846609,56756.97,Medium
YearsWithCurrManager,-1.335,Reduces Risk,752,2,1,0,0.11495314663846609,56756.97,Medium
JobInvolvement,-0.61,Reduces Risk,752,3,1,0,0.11495314663846609,56756.97,Medium
Travels Frequently,-0.49,Reduces Risk,752,4,1,0,0.11495314663846609,56756.97,Medium
TotalWorkingYears,-0.45,Reduces Risk,752,5,1,0,0.11495314663846609,56756.97,Medium
Overtime,1.744,Increases Risk,271,1,1,0,0.17763143396100525,378855.87,High
YearsSinceLastPromotion,1.133,Increases Risk,271,2,1,0,0.17763143396100525,378855.87,High
DistanceFromHome,0.826,Increases Risk,271,3,1,0,0.17763143396100525,378855.87,High
EnvironmentSatisfaction,0.55,Increases Risk,271,4,1,0,0.17763143396100525,378855.87,High
YearsAtCompany,0.379,Increases Risk,271,5,1,0,0.17763143396100525,378855.87,High
YearsWithCurrManager,-0.679,Reduces Risk,271,1,1,0,0.17763143396100525,378855.87,High
Travels Rarely,-0.622,Reduces Risk,271,2,1,0,0.17763143396100525,378855.87,High
YearsInCurrentRole,-0.513,Reduces Risk,271,3,1,0,0.17763143396100525,378855.87,High
Travels Frequently,-0.49,Reduces Risk,271,4,1,0,0.17763143396100525,378855.87,High
Single,-0.475,Reduces Risk,271,5,1,0,0.17763143396100525,378855.87,High
Travels Frequently,1.326,Increases Risk,1055,1,0,0,0.029459511778925255,90183.23,Medium
NumCompaniesWorked,0.903,Increases Risk,1055,2,0,0,0.029459511778925255,90183.23,Medium
YearsAtCompany,0.818,Increases Risk,1055,3,0,0,0.029459511778925255,90183.23,Medium
JobSatisfaction,0.676,Increases Risk,1055,4,0,0,0.029459511778925255,90183.23,Medium
YearsSinceLastPromotion,0.651,Increases Risk,1055,5,0,0,0.029459511778925255,90183.23,Medium
JobRole_Research Director,-1.125,Reduces Risk,1055,1,0,0,0.029459511778925255,90183.23,Medium
YearsInCurrentRole,-0.691,Reduces Risk,1055,2,0,0,0.029459511778925255,90183.23,Medium
YearsWithCurrManager,-0.679,Reduces Risk,1055,3,0,0,0.029459511778925255,90183.23,Medium
Travels Rarely,-0.622,Reduces Risk,1055,4,0,0,0.029459511778925255,90183.23,Medium
Single,-0.475,Reduces Risk,1055,5,0,0,0.029459511778925255,90183.23,Medium
Laboratory Technician,1.794,Increases Risk,259,1,1,1,0.5570346341258753,348826.23,High
Travels Frequently,1.326,Increases Risk,259,2,1,1,0.5570346341258753,348826.23,High
Single,0.883,Increases Risk,259,3,1,1,0.5570346341258753,348826.23,High
DistanceFromHome,0.826,Increases Risk,259,4,1,1,0.5570346341258753,348826.23,High
JobInvolvement,0.343,Increases Risk,259,5,1,1,0.5570346341258753,348826.23,High
Travels Rarely,-0.622,Reduces Risk,259,1,1,1,0.5570346341258753,348826.23,High
NumCompaniesWorked,-0.524,Reduces Risk,259,2,1,1,0.5570346341258753,348826.23,High
WorkLifeBalance,-0.515,Reduces Risk,259,3,1,1,0.5570346341258753,348826.23,High
Overtime,-0.409,Reduces Risk,259,4,1,1,0.5570346341258753,348826.23,High
Medical,-0.343,Reduces Risk,259,5,1,1,0.5570346341258753,348826.23,High
YearsInCurrentRole,0.73,Increases Risk,428,1,0,0,0.0025777293600055904,2352.44,Low
EnvironmentSatisfaction,0.55,Increases Risk,428,2,0,0,0.0025777293600055904,2352.44,Low
Manufacturing Director,0.541,Increases Risk,428,3,0,0,0.0025777293600055904,2352.44,Low
NumCompaniesWorked,0.495,Increases Risk,428,4,0,0,0.0025777293600055904,2352.44,Low
Travels Rarely,0.35,Increases Risk,428,5,0,0,0.0025777293600055904,2352.44,Low
TotalWorkingYears,-0.568,Reduces Risk,428,1,0,0,0.0025777293600055904,2352.44,Low
JobSatisfaction,-0.51,Reduces Risk,428,2,0,0,0.0025777293600055904,2352.44,Low
Travels Frequently,-0.49,Reduces Risk,428,3,0,0,0.0025777293600055904,2352.44,Low
Single,-0.475,Reduces Risk,428,4,0,0,0.0025777293600055904,2352.44,Low
StockOptionLevel,-0.459,Reduces Risk,428,5,0,0,0.0025777293600055904,2352.44,Low
Sales Executive,0.696,Increases Risk,1026,1,0,0,0.04396507304364281,72837.82,Medium
Sales Department,0.404,Increases Risk,1026,2,0,0,0.04396507304364281,72837.82,Medium
Travels Rarely,0.35,Increases Risk,1026,3,0,0,0.04396507304364281,72837.82,Medium
NumCompaniesWorked,0.291,Increases Risk,1026,4,0,0,0.04396507304364281,72837.82,Medium
Married,0.239,Increases Risk,1026,5,0,0,0.04396507304364281,72837.82,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,1026,1,0,0,0.04396507304364281,72837.82,Medium
JobSatisfaction,-0.51,Reduces Risk,1026,2,0,0,0.04396507304364281,72837.82,Medium
Travels Frequently,-0.49,Reduces Risk,1026,3,0,0,0.04396507304364281,72837.82,Medium
Single,-0.475,Reduces Risk,1026,4,0,0,0.04396507304364281,72837.82,Medium
Overtime,-0.409,Reduces Risk,1026,5,0,0,0.04396507304364281,72837.82,Medium
Overtime,1.744,Increases Risk,277,1,0,0,0.38646370639951294,389903.23,High
YearsSinceLastPromotion,0.812,Increases Risk,277,2,0,0,0.38646370639951294,389903.23,High
YearsInCurrentRole,0.73,Increases Risk,277,3,0,0,0.38646370639951294,389903.23,High
Sales Executive,0.696,Increases Risk,277,4,0,0,0.38646370639951294,389903.23,High
JobSatisfaction,0.676,Increases Risk,277,5,0,0,0.38646370639951294,389903.23,High
JobInvolvement,-0.61,Reduces Risk,277,1,0,0,0.38646370639951294,389903.23,High
Travels Frequently,-0.49,Reduces Risk,277,2,0,0,0.38646370639951294,389903.23,High
Single,-0.475,Reduces Risk,277,3,0,0,0.38646370639951294,389903.23,High
YearsWithCurrManager,-0.416,Reduces Risk,277,4,0,0,0.38646370639951294,389903.23,High
Medical,-0.343,Reduces Risk,277,5,0,0,0.38646370639951294,389903.23,High
Sales Executive,0.696,Increases Risk,1105,1,0,0,0.12115688395852482,139398.26,High
JobSatisfaction,0.676,Increases Risk,1105,2,0,0,0.12115688395852482,139398.26,High
WorkLifeBalance,0.589,Increases Risk,1105,3,0,0,0.12115688395852482,139398.26,High
EnvironmentSatisfaction,0.55,Increases Risk,1105,4,0,0,0.12115688395852482,139398.26,High
Sales Department,0.404,Increases Risk,1105,5,0,0,0.12115688395852482,139398.26,High
TrainingTimesLastYear,-0.523,Reduces Risk,1105,1,0,0,0.12115688395852482,139398.26,High
YearsAtCompany,-0.5,Reduces Risk,1105,2,0,0,0.12115688395852482,139398.26,High
Travels Frequently,-0.49,Reduces Risk,1105,3,0,0,0.12115688395852482,139398.26,High
Single,-0.475,Reduces Risk,1105,4,0,0,0.12115688395852482,139398.26,High
Overtime,-0.409,Reduces Risk,1105,5,0,0,0.12115688395852482,139398.26,High
YearsAtCompany,3.234,Increases Risk,1116,1,0,0,0.022790082188914738,80345.98,Medium
DistanceFromHome,0.701,Increases Risk,1116,2,0,0,0.022790082188914738,80345.98,Medium
EstimatedMonthlySalary,0.569,Increases Risk,1116,3,0,0,0.022790082188914738,80345.98,Medium
Sales Department,0.404,Increases Risk,1116,4,0,0,0.022790082188914738,80345.98,Medium
Travels Rarely,0.35,Increases Risk,1116,5,0,0,0.022790082188914738,80345.98,Medium
TotalWorkingYears,-1.516,Reduces Risk,1116,1,0,0,0.022790082188914738,80345.98,Medium
YearsWithCurrManager,-1.204,Reduces Risk,1116,2,0,0,0.022790082188914738,80345.98,Medium
Age,-0.512,Reduces Risk,1116,3,0,0,0.022790082188914738,80345.98,Medium
JobSatisfaction,-0.51,Reduces Risk,1116,4,0,0,0.022790082188914738,80345.98,Medium
Travels Frequently,-0.49,Reduces Risk,1116,5,0,0,0.022790082188914738,80345.98,Medium
Single,0.883,Increases Risk,670,1,0,0,0.07353776486437802,30682.9,Medium
Research Scientist,0.75,Increases Risk,670,2,0,0,0.07353776486437802,30682.9,Medium
TotalWorkingYears,0.557,Increases Risk,670,3,0,0,0.07353776486437802,30682.9,Medium
YearsInCurrentRole,0.552,Increases Risk,670,4,0,0,0.07353776486437802,30682.9,Medium
YearsWithCurrManager,0.503,Increases Risk,670,5,0,0,0.07353776486437802,30682.9,Medium
YearsAtCompany,-0.609,Reduces Risk,670,1,0,0,0.07353776486437802,30682.9,Medium
Travels Frequently,-0.49,Reduces Risk,670,2,0,0,0.07353776486437802,30682.9,Medium
Overtime,-0.409,Reduces Risk,670,3,0,0,0.07353776486437802,30682.9,Medium
Life Sciences,-0.373,Reduces Risk,670,4,0,0,0.07353776486437802,30682.9,Medium
NumCompaniesWorked,-0.32,Reduces Risk,670,5,0,0,0.07353776486437802,30682.9,Medium
Sales Executive,0.696,Increases Risk,619,1,0,0,0.0072740069508495835,5285.73,Low
JobSatisfaction,0.676,Increases Risk,619,2,0,0,0.0072740069508495835,5285.73,Low
EnvironmentSatisfaction,0.55,Increases Risk,619,3,0,0,0.0072740069508495835,5285.73,Low
Sales Department,0.404,Increases Risk,619,4,0,0,0.0072740069508495835,5285.73,Low
Travels Rarely,0.35,Increases Risk,619,5,0,0,0.0072740069508495835,5285.73,Low
YearsInCurrentRole,-0.691,Reduces Risk,619,1,0,0,0.0072740069508495835,5285.73,Low
JobInvolvement,-0.61,Reduces Risk,619,2,0,0,0.0072740069508495835,5285.73,Low
YearsWithCurrManager,-0.547,Reduces Risk,619,3,0,0,0.0072740069508495835,5285.73,Low
Travels Frequently,-0.49,Reduces Risk,619,4,0,0,0.0072740069508495835,5285.73,Low
Single,-0.475,Reduces Risk,619,5,0,0,0.0072740069508495835,5285.73,Low
Single,0.883,Increases Risk,1046,1,0,0,0.0833719813297523,51323.79,Medium
Research Scientist,0.75,Increases Risk,1046,2,0,0,0.0833719813297523,51323.79,Medium
DistanceFromHome,0.452,Increases Risk,1046,3,0,0,0.0833719813297523,51323.79,Medium
YearsInCurrentRole,0.375,Increases Risk,1046,4,0,0,0.0833719813297523,51323.79,Medium
Travels Rarely,0.35,Increases Risk,1046,5,0,0,0.0833719813297523,51323.79,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,1046,1,0,0,0.0833719813297523,51323.79,Medium
Travels Frequently,-0.49,Reduces Risk,1046,2,0,0,0.0833719813297523,51323.79,Medium
Overtime,-0.409,Reduces Risk,1046,3,0,0,0.0833719813297523,51323.79,Medium
Life Sciences,-0.373,Reduces Risk,1046,4,0,0,0.0833719813297523,51323.79,Medium
NumCompaniesWorked,-0.32,Reduces Risk,1046,5,0,0,0.0833719813297523,51323.79,Medium
NumCompaniesWorked,0.699,Increases Risk,247,1,0,0,0.02992812439851511,32090.73,Medium
JobSatisfaction,0.676,Increases Risk,247,2,0,0,0.02992812439851511,32090.73,Medium
Manufacturing Director,0.541,Increases Risk,247,3,0,0,0.02992812439851511,32090.73,Medium
YearsSinceLastPromotion,0.49,Increases Risk,247,4,0,0,0.02992812439851511,32090.73,Medium
YearsAtCompany,0.489,Increases Risk,247,5,0,0,0.02992812439851511,32090.73,Medium
YearsInCurrentRole,-0.868,Reduces Risk,247,1,0,0,0.02992812439851511,32090.73,Medium
YearsWithCurrManager,-0.679,Reduces Risk,247,2,0,0,0.02992812439851511,32090.73,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,247,3,0,0,0.02992812439851511,32090.73,Medium
Travels Frequently,-0.49,Reduces Risk,247,4,0,0,0.02992812439851511,32090.73,Medium
Single,-0.475,Reduces Risk,247,5,0,0,0.02992812439851511,32090.73,Medium
