Department,JobRole,AgeGroup,SalaryGroup,EstimatedMonthlySalary,BusinessTravel,OverTime,Attrition,Gender
Research & Development,Research Scientist,26-35,Medium,29600,Travel Rarely,No,Yes,Male
Research & Development,Manager,46-60,Very High,190940,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Medium,39190,Travel Frequently,Yes,Yes,Female
Sales,Sales Executive,36-45,High,68250,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,36-45,Very High,102480,Travel Rarely,No,No,Female
Sales,Manager,46-60,Very High,189470,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Low,24960,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,36-45,High,64650,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Low,22060,Travel Rarely,No,No,Male
Sales,Sales Representative,36-45,Low,20860,Travel Rarely,No,Yes,Male
Research & Development,Research Scientist,18-25,Low,22930,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,36-45,Low,26450,Travel Rarely,No,No,Female
Sales,Sales Representative,46-60,Low,26830,Travel Rarely,Yes,Yes,Male
Sales,Sales Representative,26-35,Low,20140,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Medium,34190,Travel Rarely,Yes,No,Female
Sales,Sales Executive,26-35,High,53760,Travel Frequently,No,No,Female
Research & Development,Laboratory Technician,26-35,Low,19510,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,23410,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Low,22930,Travel Rarely,No,Yes,Male
Sales,Sales Executive,26-35,Very High,87260,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,40110,Travel Frequently,No,No,Female
Research & Development,Research Director,36-45,Very High,195450,Travel Rarely,No,Yes,Female
Sales,Sales Executive,26-35,Medium,45680,Non-Travel,No,No,Male
Research & Development,Research Scientist,36-45,Medium,30220,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,High,57720,Travel Frequently,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Low,22690,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,46-60,High,53810,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,26-35,Medium,34410,Travel Rarely,Yes,Yes,Male
Sales,Sales Executive,36-45,High,54540,Travel Rarely,Yes,No,Female
Research & Development,Healthcare Representative,26-35,Very High,98840,Non-Travel,Yes,No,Male
Sales,Sales Executive,26-35,Medium,41570,Travel Rarely,Yes,No,Female
Research & Development,Research Director,26-35,Very High,134580,Travel Frequently,Yes,No,Female
Sales,Sales Executive,26-35,Very High,90690,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,40140,Travel Rarely,Yes,No,Female
Research & Development,Laboratory Technician,26-35,High,59150,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,36-45,High,59930,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,High,61620,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,36-45,Low,24060,Travel Frequently,No,No,Female
Research & Development,Research Director,46-60,Very High,187400,Travel Rarely,Yes,No,Female
Sales,Sales Executive,46-60,High,76370,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,36-45,Very High,100960,Travel Rarely,No,No,Female
Research & Development,Manager,46-60,Very High,147560,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,36-45,High,64990,Travel Frequently,No,No,Male
Research & Development,Research Scientist,36-45,Very High,97240,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,21940,Travel Frequently,No,No,Male
Research & Development,Research Scientist,36-45,Medium,33880,Travel Rarely,Yes,Yes,Male
Sales,Sales Executive,46-60,High,54730,Travel Frequently,No,No,Female
Research & Development,Research Scientist,26-35,Low,27030,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,25010,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,High,62200,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,Medium,30380,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,26-35,Medium,44240,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,Medium,43120,Travel Rarely,No,No,Male
Research & Development,Research Director,36-45,Very High,132450,Travel Rarely,Yes,No,Male
Research & Development,Research Director,36-45,Very High,136640,Travel Rarely,No,No,Male
Human Resources,Human Resources,46-60,High,50210,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,High,51260,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,26-35,Low,28590,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,Very High,102390,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,High,53290,Non-Travel,Yes,No,Female
Research & Development,Manufacturing Director,26-35,Medium,43250,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,46-60,High,72600,Travel Rarely,No,No,Male
Sales,Sales Representative,18-25,Low,23220,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,46-60,Low,20750,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,Medium,41520,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,Very High,96190,Travel Rarely,No,Yes,Male
Research & Development,Healthcare Representative,36-45,Very High,135030,Travel Frequently,No,No,Male
Sales,Sales Executive,46-60,High,54410,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,High,52090,Travel Rarely,Yes,No,Female
Research & Development,Healthcare Representative,46-60,Very High,106730,Travel Frequently,Yes,No,Male
Sales,Sales Executive,26-35,High,50100,Travel Rarely,No,No,Male
Research & Development,Research Director,46-60,Very High,135490,Travel Rarely,No,No,Female
Sales,Sales Executive,18-25,High,49990,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,Medium,42210,Non-Travel,No,No,Male
Sales,Sales Executive,46-60,Very High,138720,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,Low,20420,Non-Travel,No,No,Male
Human Resources,Human Resources,36-45,Low,20730,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Medium,29560,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Medium,29260,Travel Frequently,Yes,Yes,Female
Research & Development,Research Scientist,26-35,Medium,48090,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,36-45,High,51630,Non-Travel,No,No,Male
Human Resources,Manager,46-60,Very High,188440,Non-Travel,No,No,Female
Research & Development,Research Director,46-60,Very High,181720,Travel Frequently,Yes,No,Female
Sales,Sales Executive,18-25,High,57440,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,18-25,Low,28890,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Low,28710,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,46-60,High,74840,Travel Frequently,No,No,Female
Research & Development,Laboratory Technician,26-35,High,60740,Travel Frequently,Yes,Yes,Male
Human Resources,Manager,46-60,Very High,173280,Non-Travel,Yes,No,Female
Research & Development,Laboratory Technician,18-25,Low,27740,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Medium,45050,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,High,74280,Travel Rarely,No,No,Male
Research & Development,Manager,26-35,Very High,116310,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,Very High,97380,Travel Frequently,No,No,Female
Research & Development,Laboratory Technician,36-45,Low,28350,Travel Rarely,No,No,Female
Sales,Manager,36-45,Very High,169590,Travel Frequently,Yes,No,Male
Research & Development,Research Scientist,26-35,Low,26130,Travel Frequently,No,No,Male
Sales,Sales Executive,26-35,High,61460,Non-Travel,No,No,Male
Research & Development,Research Scientist,46-60,High,49630,Travel Rarely,Yes,Yes,Female
Research & Development,Research Director,46-60,Very High,195370,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,61720,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Low,23680,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,46-60,Very High,103120,Travel Rarely,No,Yes,Female
Sales,Sales Representative,18-25,Low,16750,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,18-25,Low,25230,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,46-60,High,65670,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Medium,47390,Travel Frequently,No,No,Female
Sales,Sales Executive,46-60,Very High,92080,Travel Frequently,No,No,Female
Sales,Sales Executive,26-35,Medium,45590,Travel Rarely,Yes,Yes,Female
Sales,Sales Executive,36-45,High,81890,Travel Rarely,Yes,No,Male
Human Resources,Human Resources,26-35,Medium,29420,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,36-45,High,49410,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,46-60,Very High,106500,Travel Frequently,No,Yes,Male
Sales,Sales Executive,36-45,High,59020,Travel Rarely,No,No,Female
Sales,Sales Executive,18-25,Very High,86390,Travel Rarely,No,No,Male
Human Resources,Human Resources,26-35,High,63470,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Medium,42000,Travel Rarely,No,Yes,Female
Research & Development,Research Scientist,36-45,Medium,34520,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,43170,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,26320,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,Medium,46680,Travel Frequently,No,No,Male
Research & Development,Research Scientist,26-35,Medium,32040,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Low,27200,Travel Rarely,No,No,Male
Research & Development,Manager,36-45,Very High,171810,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,36-45,Low,22380,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Low,14830,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,High,56050,Travel Frequently,No,No,Female
Sales,Sales Executive,26-35,High,72950,Travel Rarely,No,No,Male
Sales,Sales Representative,46-60,Low,23060,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,36-45,Low,23480,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Very High,89980,Travel Frequently,No,No,Female
Research & Development,Manufacturing Director,26-35,Medium,43190,Non-Travel,No,No,Male
Research & Development,Manufacturing Director,46-60,High,61320,Travel Rarely,No,No,Male
Research & Development,Research Scientist,46-60,Medium,33460,Travel Rarely,Yes,No,Female
Sales,Sales Executive,36-45,Very High,108550,Travel Rarely,No,No,Male
Sales,Sales Representative,26-35,Low,22310,Travel Frequently,No,No,Female
Research & Development,Research Scientist,18-25,Low,23230,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,20240,Non-Travel,No,No,Male
Research & Development,Research Scientist,26-35,Low,27130,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,46-60,Very High,94390,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,26-35,Low,25660,Non-Travel,Yes,No,Male
Research & Development,Manager,46-60,Very High,199260,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Low,24510,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Very High,94190,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,Very High,86860,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Medium,30380,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Medium,30580,Travel Rarely,Yes,No,Male
Sales,Sales Representative,18-25,Low,23250,Travel Frequently,No,Yes,Female
Research & Development,Laboratory Technician,36-45,Low,20880,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,30720,Non-Travel,No,No,Male
Sales,Sales Executive,36-45,High,50060,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,46-60,Medium,42570,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,25000,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Low,11020,Travel Rarely,No,Yes,Male
Sales,Sales Executive,46-60,Very High,104530,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Low,22880,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Medium,39290,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,23110,Travel Rarely,No,No,Female
Sales,Sales Representative,36-45,Medium,31400,Travel Rarely,Yes,Yes,Female
Research & Development,Laboratory Technician,46-60,Medium,36900,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,46-60,Medium,44500,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,27560,Travel Rarely,No,No,Female
Research & Development,Manager,36-45,Very High,190330,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,187220,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,Very High,95470,Travel Frequently,No,No,Male
Research & Development,Healthcare Representative,46-60,Very High,137340,Travel Rarely,No,No,Female
Research & Development,Manager,46-60,Very High,199990,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,22790,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,26-35,High,59160,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,36-45,Low,20890,Non-Travel,No,No,Male
Research & Development,Manager,36-45,Very High,167920,Non-Travel,No,No,Male
Research & Development,Research Scientist,36-45,Medium,35640,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Medium,44250,Travel Frequently,No,No,Female
Research & Development,Manufacturing Director,36-45,High,52650,Non-Travel,No,No,Female
Research & Development,Manufacturing Director,36-45,High,65530,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,36-45,High,62610,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,Medium,42980,Travel Frequently,No,No,Male
Research & Development,Manufacturing Director,46-60,High,68040,Non-Travel,Yes,No,Male
Research & Development,Research Scientist,26-35,Medium,38150,Travel Frequently,Yes,No,Male
Research & Development,Laboratory Technician,36-45,Low,27410,Travel Rarely,Yes,No,Male
Research & Development,Healthcare Representative,36-45,High,66730,Travel Rarely,Yes,Yes,Male
Sales,Sales Executive,26-35,High,76390,Travel Rarely,No,Yes,Female
Research & Development,Research Scientist,18-25,Low,23280,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,36-45,Low,21530,Travel Frequently,No,No,Female
Research & Development,Healthcare Representative,36-45,Medium,48760,Non-Travel,No,No,Male
Research & Development,Healthcare Representative,46-60,Very High,93960,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Very High,104000,Travel Rarely,No,Yes,Male
Research & Development,Manufacturing Director,26-35,Very High,84740,Non-Travel,No,No,Male
Sales,Sales Executive,26-35,Very High,99810,Travel Frequently,No,No,Female
Research & Development,Research Director,46-60,Very High,124900,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,26570,Travel Rarely,Yes,Yes,Female
Sales,Manager,36-45,Very High,135910,Travel Rarely,Yes,No,Female
Sales,Sales Executive,26-35,High,66960,Travel Frequently,No,Yes,Female
Research & Development,Research Scientist,26-35,Low,20580,Travel Rarely,No,Yes,Male
Sales,Sales Executive,36-45,Very High,88650,Non-Travel,No,No,Female
Sales,Sales Executive,46-60,High,59400,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,High,59140,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,26220,Travel Rarely,No,No,Female
Research & Development,Research Director,36-45,Very High,121850,Travel Frequently,Yes,No,Male
Sales,Sales Executive,36-45,Very High,106090,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,Medium,43450,Non-Travel,No,No,Male
Research & Development,Research Scientist,46-60,Low,21770,Travel Rarely,No,No,Male
Sales,Sales Representative,36-45,Low,27930,Travel Frequently,No,No,Male
Sales,Sales Executive,26-35,High,79180,Travel Frequently,No,No,Female
Sales,Sales Executive,26-35,Very High,87890,Travel Frequently,No,No,Female
Research & Development,Research Scientist,26-35,Low,23890,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,46-60,Medium,32120,Travel Rarely,No,No,Female
Research & Development,Manager,36-45,Very High,192320,Travel Rarely,No,No,Male
Human Resources,Human Resources,46-60,Low,22670,Travel Rarely,No,No,Male
Sales,Manager,46-60,Very High,195170,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Low,24360,Travel Rarely,Yes,Yes,Male
Sales,Manager,36-45,Very High,160640,Travel Rarely,Yes,No,Female
Research & Development,Laboratory Technician,26-35,Low,27070,Travel Rarely,No,Yes,Female
Sales,Manager,46-60,Very High,190680,Non-Travel,Yes,No,Male
Sales,Sales Representative,26-35,Medium,39310,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Medium,37300,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,36-45,Low,22320,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,Medium,44650,Non-Travel,No,No,Male
Research & Development,Research Scientist,36-45,Medium,30720,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,33190,Travel Rarely,No,No,Male
Research & Development,Manager,36-45,Very High,192020,Travel Rarely,No,No,Male
Research & Development,Research Director,26-35,Very High,136750,Travel Frequently,No,No,Male
Research & Development,Research Scientist,26-35,Low,29110,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,26-35,High,59570,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,39200,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,36-45,High,64340,Travel Frequently,No,No,Male
Research & Development,Manufacturing Director,36-45,Very High,100480,Travel Frequently,No,Yes,Male
Research & Development,Healthcare Representative,36-45,Very High,109380,Travel Frequently,No,No,Female
Research & Development,Research Scientist,26-35,Low,23400,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,High,65450,Travel Rarely,Yes,No,Female
Sales,Sales Executive,26-35,High,69310,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,18-25,Medium,48980,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Low,25930,Travel Rarely,Yes,No,Female
Research & Development,Research Director,36-45,Very High,194360,Travel Rarely,No,No,Male
Research & Development,Research Scientist,46-60,Low,27230,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,34790,Travel Frequently,No,Yes,Male
Research & Development,Laboratory Technician,26-35,Low,27940,Travel Frequently,No,No,Male
Sales,Sales Executive,36-45,High,52490,Non-Travel,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,21760,Travel Rarely,No,No,Male
Sales,Manager,46-60,Very High,168720,Travel Rarely,Yes,No,Female
Research & Development,Laboratory Technician,26-35,Medium,34850,Travel Rarely,No,Yes,Male
Sales,Sales Executive,26-35,High,66440,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,55820,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,18-25,Medium,40000,Non-Travel,No,No,Male
Research & Development,Healthcare Representative,36-45,Very High,134960,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,36-45,Medium,32100,Travel Rarely,No,No,Male
Research & Development,Manager,46-60,Very High,190450,Travel Rarely,Yes,No,Male
Research & Development,Manager,46-60,Very High,118490,Non-Travel,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Low,20700,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,High,65020,Travel Rarely,No,No,Male
Research & Development,Research Scientist,18-25,Medium,32300,Travel Rarely,No,No,Male
Research & Development,Research Director,36-45,Very High,136030,Non-Travel,Yes,No,Female
Research & Development,Manager,26-35,Very High,119960,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,High,56050,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,26-35,High,63970,Travel Frequently,No,No,Female
Research & Development,Research Director,46-60,Very High,191440,Travel Rarely,No,No,Male
Research & Development,Research Director,46-60,Very High,175840,Travel Rarely,Yes,No,Male
Sales,Sales Executive,36-45,Medium,49070,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Medium,45540,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,46-60,High,54150,Travel Rarely,Yes,No,Male
Research & Development,Healthcare Representative,26-35,Medium,47410,Travel Frequently,Yes,No,Male
Research & Development,Research Scientist,36-45,Low,21150,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Medium,31610,Travel Frequently,Yes,Yes,Male
Research & Development,Healthcare Representative,36-45,High,57450,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,23730,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Medium,33100,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,186650,Travel Frequently,Yes,No,Female
Research & Development,Research Scientist,36-45,Medium,44850,Travel Rarely,No,No,Male
Sales,Sales Representative,26-35,Low,27890,Travel Frequently,No,No,Female
Sales,Sales Executive,26-35,High,58280,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,36-45,Low,23260,Travel Frequently,Yes,No,Male
Sales,Sales Executive,36-45,Very High,135250,Travel Frequently,No,No,Female
Research & Development,Laboratory Technician,18-25,Low,14200,Travel Rarely,No,Yes,Male
Sales,Sales Executive,26-35,High,80200,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,Medium,36880,Travel Frequently,No,No,Male
Research & Development,Manufacturing Director,46-60,High,54820,Travel Rarely,No,No,Male
Sales,Manager,36-45,Very High,160150,Travel Rarely,No,No,Male
Sales,Sales Representative,18-25,Low,12000,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,26-35,High,56610,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,69290,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,36-45,Very High,96130,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,High,56740,Non-Travel,No,No,Female
Sales,Sales Executive,26-35,High,54840,Travel Rarely,No,No,Male
Research & Development,Research Director,36-45,Very High,120610,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,46-60,High,56600,Non-Travel,Yes,No,Male
Research & Development,Research Scientist,26-35,Medium,48210,Travel Rarely,Yes,No,Male
Human Resources,Human Resources,26-35,High,64100,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,High,52100,Travel Frequently,No,No,Male
Research & Development,Research Scientist,26-35,Low,26950,Travel Rarely,Yes,No,Male
Research & Development,Manager,26-35,Very High,118780,Travel Frequently,No,No,Female
Research & Development,Manager,36-45,Very High,170680,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,36-45,Low,24550,Travel Frequently,No,No,Female
Research & Development,Healthcare Representative,46-60,Very High,139640,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,46-60,High,49410,Travel Rarely,No,Yes,Male
Research & Development,Research Scientist,26-35,Low,24780,Travel Rarely,Yes,No,Female
Sales,Sales Executive,26-35,High,52280,Travel Rarely,Yes,No,Female
Sales,Sales Executive,26-35,Medium,44780,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,High,75470,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,High,50550,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Medium,34640,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,High,57750,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,26-35,Very High,89430,Travel Frequently,No,No,Female
Research & Development,Manager,36-45,Very High,192720,Travel Frequently,No,No,Male
Sales,Sales Executive,36-45,High,52380,Travel Rarely,Yes,Yes,Female
Sales,Sales Executive,26-35,Medium,46820,Travel Frequently,No,No,Male
Research & Development,Research Director,46-60,Very High,183000,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,High,52570,Travel Frequently,No,No,Female
Sales,Sales Executive,26-35,High,63490,Non-Travel,Yes,No,Male
Research & Development,Research Scientist,46-60,Medium,48690,Travel Frequently,No,No,Female
Research & Development,Healthcare Representative,36-45,Very High,99850,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Medium,36970,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,High,74570,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Low,21190,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,26-35,Medium,39830,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,61180,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,High,62140,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,36-45,High,63470,Travel Rarely,No,No,Male
Research & Development,Research Director,36-45,Very High,115100,Travel Rarely,Yes,No,Male
Research & Development,Manufacturing Director,26-35,High,71430,Travel Rarely,Yes,No,Female
Sales,Sales Executive,26-35,High,82680,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,26-35,High,80950,Travel Rarely,No,No,Male
Research & Development,Research Scientist,18-25,Low,29040,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,36-45,High,60320,Travel Rarely,Yes,No,Male
Sales,Sales Representative,46-60,Medium,29760,Travel Frequently,No,No,Male
Research & Development,Research Director,36-45,Very High,159920,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,Medium,46490,Non-Travel,No,No,Male
Human Resources,Human Resources,36-45,Low,26960,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Low,23700,Travel Rarely,No,No,Female
Sales,Manager,46-60,Very High,125040,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,High,59740,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,Medium,47360,Non-Travel,Yes,No,Female
Sales,Sales Executive,26-35,High,52960,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,36-45,High,67810,Travel Rarely,No,No,Male
